鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
內湖區,房地(土地+建物)+車位,臺北市中山區文德路211~240號,30.0,其他,,,10307,土地1建物1車位1,十三層，十四層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871126,241.62,4,2,2,有,有,44800000,185415,坡道平面,36.83,0
中山區,房地(土地+建物),臺北市中山區德惠街3巷1~30號,16.5,商,,,10303,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660413,66.89,2,1,1,有,有,14500000,216774,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段355巷1~30號,18.0,住,,,10008,土地2建物1車位2,四層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030513,124.61,2,2,1,有,有,18880000,186036,其他,32.8,1800000
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段355巷1~30號,29.25,住,,,10010,土地2建物1車位2,七層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030513,192.72,3,2,2,有,有,34580000,202476,其他,32.8,2200000
中山區,土地,吉林段二小段481~510地號,77.0,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2940000,38182,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區舊宗路二段181巷1~30號,71.17,工,,,10306,土地2建物1車位2,二層,005,廠辦,工業用,鋼筋混凝土造,0881002,333.23,0,0,0,無,有,35000000,105033,坡道平面,0.0,0
中山區,車位,臺北市中山區明水路581巷31~60號,2.22,住,,,10307,土地0建物0車位2,地下二層，地下三層,013,其他,停車空間,鋼筋混凝土造,0930109,88.04,0,0,0,有,有,1800000,,坡道平面,75.26,1800000
信義區,房地(土地+建物)+車位,臺北市信義區信義路四段451~480號,13.03,商,,,10306,土地1建物2車位2,地下四層,027,辦公商業大樓,停車空間,鋼骨鋼筋混凝土造,0861230,185.17,0,0,0,無,有,11430000,61727,坡道平面,54.56,0
信義區,房地(土地+建物),臺北市信義區光復南路421~450號,3.92,商,,,10307,土地1建物1車位0,五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,44.760000000000005,2,1,1,有,有,15300000,341823,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段121~150號,26.37,商,,,10307,土地1建物1車位0,二層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700325,247.64999999999998,0,0,0,無,無,30000000,121139,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區重陽路571~600號,21.24,住,,,10307,土地1建物1車位1,一層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960130,105.25999999999999,3,2,2,有,有,28000000,266008,升降平面,0.0,0
信義區,車位,臺北市信義區松隆路271~300號,0.64,其他,,,10307,土地0建物0車位1,地下二層,007,其他,見使用執照,鋼筋混凝土造,0780624,34.09,0,0,0,有,無,2700000,,坡道平面,0.0,2700000
南港區,房地(土地+建物),臺北市南港區八德路四段871~900號,7.42,商,,,10307,土地1建物1車位0,五層,016,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841219,84.48,2,1,1,有,有,13300000,157415,,0.0,0
信義區,房地(土地+建物),臺北市信義區光復南路541~570號,4.83,商,,,10306,土地1建物1車位0,三層,015,套房(1房1廳1衛),商業用,鋼筋混凝土造,0790109,51.47,1,1,1,有,有,16350000,317661,,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區信義路四段451~480號,31.49,商,,,10306,土地1建物2車位3,一層，騎樓，見使用執照,027,辦公商業大樓,見使用執照,見使用執照,0861230,407.26,0,0,0,無,有,27420000,67328,坡道平面,91.59,0
信義區,房地(土地+建物)+車位,臺北市信義區青雲街31~60號,346.0,住,,,10307,土地1建物1車位1,全,003,透天厝,住家用,鋼筋混凝土造,0741226,320.89,4,4,5,有,有,98000000,305401,其他,72.85,0
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,8.67,住,,,10305,土地1建物1車位1,一層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,67.83,0,0,0,無,有,15480000,294595,坡道平面,23.43,2400000
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,11.43,住,,,10305,土地1建物1車位1,三層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,70.35,0,0,0,無,有,13880000,206003,塔式車位,11.71,1800000
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,11.27,住,,,10305,土地1建物1車位1,六層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,70.1,0,0,0,無,有,14070000,210139,坡道機械,11.71,1800000
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,18.18,住,,,10305,土地1建物1車位1,九層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,116.94,0,0,0,無,有,25370000,243503,坡道平面,23.43,2600000
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,8.74,住,,,10306,土地1建物1車位1,一層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,67.88,0,0,0,無,有,15900000,303712,坡道平面,23.43,2400000
南港區,房地(土地+建物),臺北市南港區成福路194巷1~30號,11.2,住,,,10305,土地1建物1車位0,四層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,58.39,0,0,0,無,有,11900000,203802,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,9.97,住,,,10305,土地1建物1車位1,七層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,63.2,0,0,0,無,有,12300000,203923,塔式車位,11.71,1800000
南港區,房地(土地+建物)+車位,臺北市南港區成福路194巷1~30號,13.65,住,,,10305,土地1建物1車位1,七層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,81.84,0,0,0,無,有,16650000,211750,塔式車位,11.71,1800000
松山區,車位,臺北市松山區敦化北路155巷100弄1~30號,0.48,住,,,10307,土地0建物0車位1,一層，地下一層，地下二層，地下三層,017,其他,停車空間,鋼筋混凝土造,0881022,40.11,0,0,0,有,有,2300000,,坡道平面,40.11,2300000
南港區,房地(土地+建物),臺北市南港區重陽路125巷36弄1~30號,13.39,住,,,10307,土地1建物1車位0,四層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961008,56.25,1,1,1,有,無,10150000,180444,,0.0,0
松山區,房地(土地+建物),臺北市松山區南京東路四段53巷8弄31~60號,12.06,住,,,10305,土地2建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,60.089999999999996,2,1,1,有,有,3700000,61574,,0.0,0
士林區,房地(土地+建物),臺北市士林區通河街31~60號,20.8,住,,,10306,土地1建物1車位0,一層，騎樓,005,店面(店鋪),商業用,鋼筋混凝土造,0680618,69.22,0,0,0,無,無,22500000,325051,,0.0,0
士林區,房地(土地+建物),臺北市士林區文昌路151~180號,49.0,住,,,10306,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601210,113.16,5,0,5,有,無,19120000,168964,,0.0,0
士林區,房地(土地+建物),臺北市士林區天母東路81巷20弄1~30號,22.71,住,,,10306,土地4建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740124,100.82,3,2,1,有,有,14500000,143821,,0.0,0
北投區,房地(土地+建物),臺北市北投區光明路151巷1~30號,13.58,商,,,10307,土地1建物1車位0,四層,027,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030530,145.66,3,2,2,有,有,23000000,157902,,0.0,0
